Jahr;Texter;Komponisten;;;
1956;2.33;1.08;;;
1957;1.10;1.00;;;
1958;0.90;1.20;;;
1959;0.91;1.00;;;
1960;0.77;1.08;;;
1961;0.81;1.06;;;
1962;0.88;1.13;;;
1963;0.63;1.06;;;
1964;0.81;1.00;;;
1965;0.78;1.22;;;
1966;0.67;1.00;;;
1967;0.76;1.12;;;
1968;0.76;1.18;;;
1969;0.69;1.06;;;
1970;0.58;1.25;;;
1971;0.83;1.11;;;
1972;0.83;1.44;;;
1973;0.71;1.24;;;
1974;0.71;1.29;;;
1975;0.79;1.16;;;
1976;0.78;1.17;;;
1977;0.67;1.33;;;
1978;0.95;1.45;;;
1979;0.84;1.16;;;
1980;0.74;1.32;;;
1981;0.75;1.20;;;
1982;0.78;1.22;;;
1983;1.15;1.30;;;
1984;0.74;1.16;;;
1985;0.68;1.26;;;
1986;0.55;1.25;;;
1987;0.64;1.27;;;
1988;0.71;1.29;;;
1989;1.05;1.23;;;
1990;0.59;1.23;;;
1991;0.64;1.32;;;
1992;0.57;1.26;;;
1993;0.64;1.32;;;
1994;0.68;1.12;;;
1995;0.74;1.43;;;
1996;0.61;1.30;;;
1997;0.68;1.16;;;
1998;0.68;1.48;;;
1999;0.87;1.57;;;
2000;0.58;1.54;;;
2001;1.22;1.35;;;
2002;0.92;1.13;;;
2003;0.54;1.31;;;
2004;0.83;1.22;;;
2005;1.00;1.31;;;
2006;0.86;1.51;;;
2007;0.98;1.50;;;
2008;0.74;1.77;;;
2009;1.10;1.86;;;
2010;0.82;1.59;;;
2011;0.67;1.81;;;
2012;0.52;2.00;;;
2013;0.67;1.92;;;
2014;0.97;1.95;;;
2015;0.93;2.00;;;
2016;1.00;2.48;;;
2017;0.76;2.24;;;
2018;0.63;2.40;;;
2019;0.68;2.54;;;