Jahr;fr;am;ar;bg;bn;br;bs;ca;co;cs;da;de;el;en;es;et;fi;ga;gu;he;hi;hr;ht;hu;imagine;is;it;ka;ku;lb;lt;lv;me;mk;mr;mt;nl;no;pl;pt;rm;ro;ru;sk;sl;sq;sr;sv;tr;uk;yo;Summe
1956;6;;;;;;;;;;;2;;;;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;;;;;12
1957;3;;;;;;;;;;1;2;;1;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;10
1958;3;;;;;;;;;;1;2;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;;1;;;;10
1959;2;;;;;;;;;;1;3;;1;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;1;;;;11
1960;3;;;;;;;;;;1;2;;1;;;;;;;;;;;;;2;;;1;;;;;;;1;1;;;;;;;;;;1;;;;13
1961;4;;;;;;;;;;1;2;;1;1;;1;;;;;1;;;;;1;;;;;;;;;;2;1;;;;;;;;;;1;;;;16
1962;5;;;;;;;;;;1;2;;1;1;;1;;;;;1;;;;;1;;;;;;;;;;1;1;;;;;;;;;;1;;;;16
1963;4;;;;;;;;;;1;2;;1;1;;1;;;;;1;;;;;1;;;;;;;;;;2;1;;;;;;;;;;1;;;;16
1964;4;;;;;;;;;;1;2;;1;1;;1;;;;;1;;;;;2;;;;;;;;;;1;1;;1;;;;;;;;;;;;16
1965;4;;;;;;;;;;1;2;;3;1;;1;;;;;1;;;;;1;;;;;;;;;;2;1;;1;;;;;;;;;;;;18
1966;5;;;;;;;;;;1;2;;2;1;;1;;;;;;;;;;1;;;;;;;;;;1;1;;1;;;;;1;;;1;;;;18
1967;4;;;;;;;;;;;2;;2;1;;1;;;;;;;;;;1;;;;;;;;;;2;1;;1;;;;;1;;;1;;;;17
1968;4;;;;;;;;;;;2;;2;1;;1;;;;;1;;;;;2;;;;;;;;;;1;1;;1;;;;;;;;1;;;;17
1969;3;;;;;;;;;;;2;;2;1;;1;;;;;1;;;;;1;;;;;;;;;;2;1;;1;;;;;;;;1;;;;16
1970;5;;;;;;;;;;;1;;2;1;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;1;;;;;;;12
1971;4;;;;;;;;;;;2;;2;1;;1;;;;;1;;;;;1;;;;;;;;;1;2;1;;1;;;;;;;;1;;;;18
1972;5;;;;;;;;;;;2;;1;1;;1;1;;;;1;;;;;1;;;;;;;;;1;1;1;;1;;;;;;;;1;;;;18
1973;4;;;;;;;;;;;1;;5;1;;;;;;;1;;;;;1;;;;;;;;1;;2;;;1;;;;;;;;;;;;17
1974;3;;;;;;;;;;;2;1;6;1;;;;;1;;1;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;17
1975;3;;;;1;;;;;;;2;;7;1;;;;;;;;;;;;1;;;;;;;;;;1;;;1;;;;;1;;;;1;;;19
1976;4;;;;;;;;;;;1;1;8;1;;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;18
1977;3;;;;;;;;;;;2;1;4;1;;1;;1;;;;;;;;1;;;;;;;;;;1;1;;1;;;;;;;;1;;;;18
1978;5;;;;;;;;;;1;2;1;2;1;;1;;;;;;;;;;1;;;;;;;;;;1;1;;1;;;;;;;;1;1;;1;20
1979;3;;;;;;;;;;1;3;1;2;1;;1;;;;;;;;;;1;;;;;;;;1;;2;1;;1;;;;;;;;1;;;;19
1980;4;;1;;;;;;;;1;2;1;2;1;;1;;;;;;;;;;1;;;;;;;;;;1;1;;1;;;;;;;;1;1;;;19
1981;2;;;;;;;;;;1;2;2;2;1;;1;;;1;;1;;;;;1;;;;;;;;;;2;1;;1;;;;;;;;1;1;;;20
1982;3;;;;;;;;;;1;2;1;2;1;;1;;;1;;1;;;;;;;;;;;;;;;1;1;;1;;;;;;;;1;1;;;18
1983;3;;;;;;1;;;;1;2;2;1;1;;1;;;1;;;;;;;2;;;;;;;;;;1;1;;1;;;;;;;;1;1;;;20
1984;3;;;;;;;;;;1;3;1;2;1;;1;;;;;1;;;;;1;;;;;;;;;;1;1;;1;;;;;;;;1;1;;;19
1985;2;;;;;;;;;;1;3;2;2;1;;1;;;1;;;;;;;1;;;;;;;;;;1;1;;1;;;;;;;;1;1;;;19
1986;4;;;;;;;;;;1;2;1;2;1;;1;;;1;;1;;;;1;;;;;;;;;;;1;1;;1;;;;;;;;1;1;;;20
1987;3;;;;;;;;;;1;2;2;2;1;;1;;;1;;1;;;;1;1;;;;;;;;;;2;1;;1;;;;;;;;1;1;;;22
1988;4;;;;;;;;;;1;2;1;2;1;;1;;;1;;1;;;;1;1;;;;;;;;;;1;1;;1;;;;;;;;1;1;;;21
1989;2;;;;;;;;;;1;2;2;2;1;;1;;;1;;1;;;;1;1;;;;;;;;;;2;1;;1;1;;;;;;;1;1;;;22
1990;3;;;;;;;;;;1;3;2;2;1;;;;;1;;1;;;;1;1;;;;;;;;;;1;1;;1;;;;;;;;2;1;;;22
1991;2;;;;;;;;1;;1;2;2;3;1;;1;;;1;;1;;;;1;1;;;;;;;;;;1;1;;1;;;;;;;;1;1;;;22
1992;2;;;;;;1;;;;1;2;2;3;1;;1;;;1;;;1;;;1;1;;;1;;;;;;;1;1;;1;;;;;;;;1;1;;;23
1993;2;;;;;;;;1;;1;2;2;3;1;;1;;;1;;2;;;;1;1;;;;;;;;;;2;1;;1;;;;;1;;;1;1;;;25
1994;1;;;;;;;;;;;2;2;3;1;1;1;;;;;2;;1;;1;1;;;;1;;;;;;1;1;1;1;;1;1;1;;;;1;;;;25
1995;2;;;;;;;;;;1;2;2;3;1;;;;;1;;2;;1;;1;;;;;;;;;;;;1;1;1;;;1;;1;;;1;1;;;23
1996;1;;;;;1;;;;;;1;2;3;1;1;1;;;;;2;;;;1;;;;;;;;;;;2;1;1;1;;;;1;1;;;1;1;;;23
1997;1;;;;;;;;;;1;2;2;3;1;1;;;;;;2;;1;;1;2;;;;;;;;;;1;1;1;1;;;1;;1;;;1;1;;;25
1998;2;;;;;;;;;;;2;2;3;1;1;1;;;1;;1;;1;;;;;;;;;;1;;;1;1;1;1;;1;;1;1;;;1;1;;;25
1999;2;;;;;;;;;;;1;1;13;1;;;;;;;1;;;;;;;;;1;;;;;;;;1;1;;;;;;;;;1;;;23
2000;2;;;;;;;;;;;1;1;14;1;;;;;1;;1;;;;;1;;;;;;;1;;;;;;;;;;;;;;;1;;;24
2001;1;;;;;;;;;;;1;;16;1;;;;;1;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;23
2002;2;;;;;;;;;;;;;17;1;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;1;;;;1;;;24
2003;1;;;;;;;;;;;1;;17;1;;;;;;;2;;;1;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;26
2004;2;;;;;;;1;;;;1;;27;1;1;;;;;;1;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;36
2005;3;;;;;;;1;;;;;;26;2;;;;;;;2;;1;;;;;;;;;;;;;;;1;;;;;;1;;;;1;1;;39
2006;2;;;;;;;1;;;;;;27;1;;;;;;;2;;;;;1;;;;;;;;;;;1;;;;;;;;1;;;1;;;37
2007;2;;;1;;;;;;1;;1;;26;1;;;;;;;3;;;;;2;;;;;;;1;;;;;;1;;;;;1;;1;;;1;;42
2008;;;;;;;1;;;;;;1;25;1;;1;;;1;;3;;;1;;2;;1;;;;1;;;;;;;1;;1;;;1;1;;;1;;;43
2009;2;;;;;;;;;;;;;28;1;1;;;;;;2;;;;;;;;;;;;1;;;;;;1;;1;2;1;1;;1;;;;;42
2010;2;;;;;;;;;;;;1;26;1;;1;;;1;;1;;;;;;;;;;;;1;;;1;;;1;;;;1;1;;1;;;;;39
2011;;;;1;;;;;1;;;;1;34;1;;;;;;;;;;;;1;;;;;;;1;;;;;1;1;;;;;;;1;;;;;43
2012;1;;;1;;;;;;;;1;;28;2;1;;;;;;2;;;;;;;;;;;;1;;;;;;1;;;;;1;1;1;1;;;;42
2013;1;;;1;;;;;;;;;2;22;1;1;;;;1;;1;;1;;1;2;;;;;;1;1;;;;;;;;1;;;;1;1;;;;;39
2014;1;;;;;;;;;;;;;31;;;;;;;;;;;;;1;;;;;;1;;;;;;1;1;;;;;1;;;;;;;37
2015;1;;;;;;;;;;;;;33;1;;1;;;;;;;;;;1;;;;;;1;;;;;;;1;;1;;;;;;;;;;40
2016;2;;;;;;;;;;;;;37;;;;;;;;1;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;42
2017;1;;;;;;;;;;;;;37;;;;;;;;;;1;;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;42
2018;1;1;;;;;;;;;;;1;29;1;;;;;;;;;1;;;2;1;;;;;1;;;;;;;1;;;1;;1;1;1;;;;;43
2019;1;;;;;;;;;;;;;30;1;;;;;;;;;1;;1;1;1;;;;;;;;;;;1;1;;;;;1;1;1;;;;;41
2020;1;;;;;;;;;;;;;32;1;;;;;;;1;;;;;1;;;;;;;;;;;;;1;;;1;;1;;1;;;1;;41